#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Goal Rig,Dribb Riusciti,Ass,Pass Riusciti,Pass Chiave,Falli,Falli Subiti,Gialli,Rossi,Pall Rubati,Tackle,Clean Sheet,Parate
217,N. Pisilli,Cen,ROM,52.3,4.8,0.3,6,3,282,1,9,3,0,1,0,151,4,10,4,3,0,5,6,2,0
218,N. Okafor,Att,MIL,52.1,8.8,-0.7,7,3,265,1,8,4,0,9,0,41,3,4,2,0,0,0,1,0,0
219,Paulo Azzi,Dif,CAG,51.8,5.6,0.1,5,4,337,0,8,3,0,5,0,88,5,3,3,1,0,10,8,1,0
220,A. Sanabria,Att,TOR,51.7,10.7,-0.8,5,4,308,2,8,2,0,0,0,63,3,4,7,1,0,1,1,0,0
221,L. Mazzitelli,Cen,COM,51.4,11.0,-1.0,6,2,194,0,4,1,0,3,1,99,4,2,2,0,0,8,9,0,0
222,M. Badelj,Cen,GEN,51.3,9.4,-0.6,6,6,403,0,3,0,0,1,0,166,7,2,7,0,0,7,4,1,0
223,M. Kofod Andersen,Cen,VEN,51.0,5.5,0.0,5,3,268,1,4,1,0,1,0,98,3,1,2,0,0,3,5,2,0
224,T. Anjorin,Cen,EMP,50.8,8.4,-0.1,5,4,299,0,4,0,0,6,1,104,2,5,9,0,0,8,10,1,0
225,M. Ellertsson,Cen,VEN,50.7,5.5,0.0,7,6,477,0,8,1,0,5,1,58,8,3,9,0,0,3,7,2,0
226,A. Duncan,Cen,VEN,50.5,9.8,-0.7,5,5,424,0,4,1,0,6,0,155,4,9,7,1,0,9,10,1,0
227,M. Cancellieri,Att,PAR,50.4,8.1,-0.4,7,3,265,1,5,1,0,8,0,36,3,6,10,0,1,6,4,0,0
228,O. Duda,Cen,VER,50.3,10.6,-0.9,6,5,447,0,4,2,0,5,1,199,9,7,12,5,0,9,5,2,0
229,M. Adopo,Cen,CAG,49.9,6.4,-0.1,6,3,323,0,2,0,0,3,1,105,5,4,1,1,0,9,9,0,0
230,G. Fabbian,Cen,BOL,49.7,9.4,-1.1,7,3,314,1,8,2,0,0,0,45,1,6,4,1,0,6,6,0,0
231,Douglas Luiz,Cen,JUV,49.1,13.9,-2.1,7,2,268,0,4,2,0,9,0,184,8,4,3,1,0,4,5,2,0
232,P. Mazzocchi,Dif,NAP,48.9,6.8,-0.2,7,4,364,0,2,1,0,5,0,92,4,4,2,1,0,5,4,2,0
233,T. Abraham,Att,MIL,48.8,12.7,-1.8,7,4,354,1,14,8,1,0,1,39,4,9,2,0,0,2,4,2,0
234,I. Hien,Dif,ATA,48.7,13.2,-1.3,5,5,340,0,2,0,0,1,0,157,0,6,2,2,0,13,4,1,0
235,F. Guilbert,Dif,LEC,48.5,8.8,-0.2,5,5,378,0,3,0,0,2,0,113,4,3,5,0,1,12,10,2,0
236,A. Marusic,Dif,LAZ,47.7,10.6,-1.4,8,3,391,0,1,1,0,2,0,160,2,2,5,0,0,7,6,0,0
237,S. Turati,Por,MON,47.6,11.0,-0.7,5,5,450,0,0,0,0,0,0,106,0,0,2,0,0,0,0,1,15
238,I. Provedel,Por,LAZ,47.3,11.8,-1.7,8,8,720,0,0,0,0,0,0,167,1,0,0,0,0,0,0,0,18
239,N. Zortea,Dif,CAG,47.2,10.5,-1.0,5,4,377,1,5,1,0,4,0,84,6,4,6,0,0,5,6,0,0
240,A. Belotti,Att,COM,46.8,12.0,-1.5,6,3,208,1,7,1,0,1,0,32,3,3,6,0,0,4,3,0,0
241,K. Thuram,Cen,JUV,46.8,12.6,-1.4,6,3,251,0,4,0,0,5,1,171,1,8,2,2,0,3,2,2,0
242,C. Kouame,Att,FIO,46.7,8.9,-0.6,7,3,343,0,4,1,0,2,1,86,8,7,11,0,0,6,8,2,0
243,L. Spinazzola,Dif,NAP,46.3,13.0,-2.0,7,3,235,0,2,0,0,3,1,74,3,0,0,0,0,3,3,1,0
244,Francisco Conceicao,Att,JUV,45.8,15.3,-0.7,3,1,162,1,5,3,0,7,0,58,4,2,8,0,1,4,4,0,0
245,S. Lovric,Cen,UDI,45.7,8.3,-0.7,7,5,383,0,7,0,0,4,0,109,2,13,6,0,0,9,7,1,0
246,M. Erlic,Dif,BOL,45.1,9.3,-0.7,4,3,221,0,4,0,0,0,0,150,0,3,6,0,0,1,2,1,0
247,L. Skorupski,Por,BOL,44.8,11.8,-1.2,5,5,450,0,0,0,0,0,0,130,0,1,0,1,0,0,0,0,10
248,P. Dawidowicz,Dif,VER,44.5,9.1,-0.9,5,5,381,0,0,0,0,1,0,180,0,7,3,1,1,9,8,2,0
249,S. El Shaarawy,Att,ROM,44.5,9.7,-0.8,5,4,256,0,7,2,0,3,1,98,5,0,0,0,0,5,3,1,0
250,S. Sabelli,Dif,GEN,44.4,7.4,-0.6,7,5,386,0,3,0,0,0,1,57,5,5,4,0,0,9,11,1,0
251,Y. Musah,Cen,MIL,44.2,8.3,-0.7,6,1,192,0,7,0,0,2,1,120,5,4,1,0,0,7,6,0,0
252,A. Vogliacco,Dif,GEN,44.1,7.7,-0.8,5,3,285,1,2,1,0,0,0,104,1,5,1,0,0,7,8,0,0
253,H. Kamara,Dif,UDI,43.6,8.2,-0.8,6,4,356,0,2,1,0,3,1,94,8,4,4,2,1,11,10,0,0
254,G. Magnani,Dif,VER,43.3,7.9,-0.6,7,4,385,0,7,0,0,0,0,139,1,2,4,1,0,12,8,0,0
255,D. Dumfries,Dif,INT,43.2,14.0,-2.0,6,1,180,1,4,4,0,0,0,48,3,8,2,1,0,4,3,0,0
256,T. Noslin,Att,LAZ,43.0,11.6,-1.9,7,3,235,1,3,1,0,2,0,54,3,7,1,0,0,1,1,0,0
257,M. Frese,Dif,VER,42.7,7.1,-0.4,5,3,335,0,0,0,0,0,0,97,4,7,7,0,0,13,13,1,0
258,G. Caprari,Att,MON,42.2,6.6,-0.4,8,3,274,0,1,0,0,1,1,83,7,3,6,1,0,2,3,1,0
259,S. Kolasinac,Dif,ATA,42.2,12.3,-1.2,4,4,349,0,2,0,0,2,0,207,1,9,3,0,0,11,7,0,0
260,N. Casale,Dif,BOL,42.2,10.7,-1.3,6,5,386,0,1,1,0,0,0,223,0,6,2,0,0,7,8,0,0
261,M. Sverko,Dif,VEN,42.2,7.0,-0.5,5,4,353,0,2,0,0,1,0,155,0,2,1,0,0,9,4,1,0
262,Juan Miranda,Dif,BOL,42.1,10.3,-1.2,6,3,315,0,3,1,0,0,0,186,7,3,6,0,0,9,10,0,0
263,N. Vlasic,Cen,TOR,41.9,12.2,-0.8,3,1,116,1,4,1,1,1,2,43,2,2,1,0,0,2,1,0,0
